creators,date,ol_id,publisher,title,trove_url,version_id,work_id
Steve Parker 1952-,1993,OL1404493M,London Dorling Kindersley,Rocks and minerals written by Steve Parker.,https://trove.nla.gov.au/version/257741553,257741553,10007961
South Australia. Premier's Dept. Publicity and Design Services Branch,1980,OL24656253M,"Adelaide Publicity, Premier's Department, South Australia",South Australia,https://trove.nla.gov.au/version/166795880,166795880,10015487
Thomas Chastain,1981,OL4092928M,"Garden City, N.Y Doubleday",The diamond exchange Thomas Chastain,https://trove.nla.gov.au/version/49089270,49089270,10020752
"Baker, Richard W.|East-West Center.",1994,OL1405863M,"Westport, Conn Praeger","The ANZUS states and their region regional policies of Australia, New Zealand, and the United States edited by Richard W. Baker.",https://trove.nla.gov.au/version/186090623,186090623,10022258
"Arthur, Elizabeth 1953-",1995,OL1413756M,New York Knopf,Antarctic navigation a novel Elizabeth Arthur.,https://trove.nla.gov.au/version/171444544,171444544,10025636
W. F. Paton,1979,OL4212733M,"Canberra Dept. of Linguistics, Research School of Pacific Studies, Australian National University","Customs of Ambrym texts, songs, games, and drawings by W. F. Paton.",https://trove.nla.gov.au/version/261082715,261082715,10028726
"Meehan, Michael 1948 Apr. 5-",2010,OL25176622M,"Crows Nest, N.S.W Allen & Unwin",Deception Michael Meehan,https://trove.nla.gov.au/version/207908922,207908922,10028808
Damien Simonis,2010,OL26336456M,"Footscray, Vic Lonely Planet",Italy,https://trove.nla.gov.au/version/249129908,249129908,10029451
Damien Simonis,2008,OL12559538M,Lonely Planet Publications,Lonely Planet ItalyPaperback,https://trove.nla.gov.au/version/259810395,259810395,10029451
Damien Simonis,2006,OL8907372M,Lonely Planet Publications,Lonely Planet ItalyPaperback,https://trove.nla.gov.au/version/261875723,261875723,10029451
,2008,OL24295265M,New York Random House Children's Books,Toad HeaveneBook,https://trove.nla.gov.au/version/260753135,260753135,10040162
Morris Gleitzman 1953-,2006,OL23090910M,[New York] Yearling,Toad heaven Morris Gleitzman.,https://trove.nla.gov.au/version/50588371,50588371,10040162
Morris Gleitzman 1953-,2002,OL7359679M,Puffin Books,Toad Heaven,https://trove.nla.gov.au/version/247400185,247400185,10040162
Jon Cleary 1917-,1988,OL2037227M,New York Morrow,"Now and then, amen Jon Cleary.",https://trove.nla.gov.au/version/183565598,183565598,10042222
Howard Saul Becker 1928-,1982,OL4257225M,Berkeley University of California Press,Art worlds Howard S. Becker.,https://trove.nla.gov.au/version/49251029,49251029,10046755
Joan Phipson,1981,OL24779075M,New York Atheneum,A tide flowing Joan Phipson,https://trove.nla.gov.au/version/168598028 168630009,168598028 168630009,10047550
Joan Phipson,1981,OL24843043M,New York Atheneum,A tide flowing Joan Phipson,https://trove.nla.gov.au/version/168598028 168630009,168598028 168630009,10047550
Maxwell Grant,1981,OL4110231M,"New York Coward, McCann & Geoghegan",Inherit the sun Maxwell Grant.,https://trove.nla.gov.au/version/50609230,50609230,10049652
"Dale Collins 1897-1956|MacKnight, Ninon",1949,OL24763908M,New York Doubleday,Bush holiday [by] Stephen Fennimore [pseud.] Illus. by Ninon McKnight,https://trove.nla.gov.au/version/168597526,168597526,10051105
"George Jeffrey|Perkins, Arthur J. (Arthur James), 1871-1944",1907,OL24169301M,"Adelaide Printed by Vardon & sons, ltd.","A practical handbook on sheep and wool for the farmer, with which is incorporated Professor Perkins' report in 1906 on the sheep at the roseworthy agricultural college farm by Geo. Jeffrey ...",https://trove.nla.gov.au/version/49129017,49129017,10051865
Christina Stead 1902-1983,1976,OL5211913M,New York Random House,Miss Herbert (the suburban wife) Christina Stead.,https://trove.nla.gov.au/version/49183799,49183799,10056629
Vivian Stuart 1914-August 1986,1983,OL22350547M,Leicester Charnwood,The settlers Vivian Stuart.,https://trove.nla.gov.au/version/251737164,251737164,10061286
William Stuart Long 1914-August 1986,1980,OL4151995M,"New York, N.Y Dell Pub. Col",The settlers William Stuart Long.,https://trove.nla.gov.au/version/49123740,49123740,10061286
Terry Denton,1988,OL2034179M,Boston Houghton Mifflin,Felix & Alexander Terry Denton.,https://trove.nla.gov.au/version/184918676,184918676,10064439
Lesley Pearse,2008,OL24247767M,London Penguin Group UK,Remember MeElectronic resource,https://trove.nla.gov.au/version/260720324,260720324,10065997
Rolf Boldrewood 1826-1915,1969,OL5729660M,Melbourne Heinemann,Old Melbourne memories [by] Rolf Boldrewood. Introduction and editorial commentary by C. E. Sayers.,https://trove.nla.gov.au/version/544219,544219,10070727
Rolf Boldrewood 1826-1915,1896,OL7114646M,"London, New York Macmillan and Co.",Old Melbourne memories [by] Rolf Boldrewood.,https://trove.nla.gov.au/version/1560640,1560640,10070727
Rolf Boldrewood 1826-1915,1884,OL23448373M,George Robertson,Old Melbourne Memories,https://trove.nla.gov.au/version/3575747,3575747,10070727
Judah L. Waten,1957,OL6256048M,Melbourne Australasian Book Society,Shares in murder.,https://trove.nla.gov.au/version/50924354,50924354,10073197
R. Brasch 1912-,1966,OL5986090M,New York D. McKay Co.,"How did it begin? Customs & superstitions, and their romantic origins [by] R. Brasch.",https://trove.nla.gov.au/version/183604018,183604018,10073782
"Hasluck, Alexandra Lady.",1965,OL6014671M,Melbourne Oxford U. P.,Thomas Peel of Swan River.,https://trove.nla.gov.au/version/261855704,261855704,10074391
A. P. Riemer,1968,OL5151682M,[Sydney] Sydney University Press,A reading of Shakespeare's Antony and Cleopatra [by] A. P. Riemer.,https://trove.nla.gov.au/version/51428910,51428910,10075493
"Alexander, Michael 1920-",2001,OL3623439M,London Phoenix,Mrs. Fraser on the fatal shore Michael Alexander.,https://trove.nla.gov.au/version/256424914,256424914,10076402
"Gavin Seagrim|Lendon, Robin.",1980,OL3817968M,Sydney Academic Press,"Furnishing the mind a comparative study of cognitive development in Central Australian Aborigines Gavin Seagrim, Robin Lendon.",https://trove.nla.gov.au/version/256779557,256779557,10077570
"Athel D'Ombrain 1901-|Swan, Wendy.",1981,OL3518420M,"Sydney, N.S.W Reed","Historic buildings of Maitland District Maitland, Morpeth, Raymond Terrace, Stroud and Ellalong areas Athel F. D'Ombrain ; text by Wendy Swan.",https://trove.nla.gov.au/version/183601587,183601587,10077826
T. Inglis Moore 1901-1978,1971,OL5757716M,Berkeley University of California Press,Social patterns in Australian literature [by] T. Inglis Moore.,https://trove.nla.gov.au/version/220610402,220610402,10078295
"Conrad, Peter 1948-",2003,OL3695925M,New York Thames & Hudson,At home in Australia Peter Conrad.,https://trove.nla.gov.au/version/256414396,256414396,10078579
Barry Humphries,2002,OL19640277M,London Michael Joseph,My life as me a memoir Barry Humphries.,https://trove.nla.gov.au/version/208118843,208118843,10086390
Sarah Legge,2004,OL3374760M,"Collingwood, Vic CSIRO Pub.",Kookaburra king of the bush Sarah Legge.,https://trove.nla.gov.au/version/208152216,208152216,10087121
Gisela T. Kaplan,2004,OL3378619M,"Collingwood, Vic CSIRO Pub.",Australian magpie biology and behaviour of an unusual songbird Gisela Kaplan.,https://trove.nla.gov.au/version/208079169,208079169,10087158
"Cameron Miller|Falla, Dominique.",1995,OL1103014M,New York Ticknor & Fields Books for Young Readers,Woodlore Cameron Miller and Dominique Falla.,https://trove.nla.gov.au/version/171436611,171436611,10091859
Kim Michelle Toft,2005,OL24967546M,"Watertown, MA Charlesbridge",The world that we want Kim Michelle Toft,https://trove.nla.gov.au/version/175098437,175098437,10094561
"Rob Rachowiecki 1954-|Dixon, Grant.|Claire, Greg.",2003,OL19289984M,"Melbourne, Vic Lonely Planet","Trekking in the central Andes Rob Rachowiecki, Greg Claire and Grant Dixon.",https://trove.nla.gov.au/version/208072492,208072492,10098984
"Wilkins, George H. Sir 1888-1958|Stefansson, Vilhjalmur, 1879-1962.|Lake, Simon, 1866-1945.|Danenhower, Sloan, 1885-|Sverdrup, H. U. 1888-1957.|Wilkins, John, 1614-1672.",1931,OL13576667M,"[New York] Brewer, Warren & Putnam",Under the North Pole the Wilkins-Ellsworth Submarine Expedition by Sir Hubert Wilkins.,https://trove.nla.gov.au/version/209695575,209695575,10103064
Fionn Davenport,2012,OL26644983M,"Footscray, Victoria, Australia Lonely Planet Publications",Ireland written and researched by Fionn Davenport ... [et al.].Paperback,https://trove.nla.gov.au/version/260778022,260778022,10103384
Fionn Davenport,2008,OL24369088M,"Footscray, Vic Lonely Planet Publications",IrelandPaperback,https://trove.nla.gov.au/version/261076243,261076243,10103384
Fionn Davenport,2006,OL8906842M,"Footcray, Victoria, Australia Lonely Planet Publications",IrelandPaperback,https://trove.nla.gov.au/version/261079733,261079733,10103384
"Tom Downs|Wheeler, Tony, 1946-",1999,OL24218836M,Melbourne Lonely Planet,San Francisco Tom Downs.,https://trove.nla.gov.au/version/261841429,261841429,10103492
Emily Goldman (Editor)|Mahnken (Editor),2004,OL8400303M,Palgrave Macmillan,The Information Revolution in Military Affairs in AsiaHardcover,https://trove.nla.gov.au/version/260756793,260756793,10113895
Robert Hamilton Mathews 1841-,1907,OL7000127M,"Sidney W. A. Gullick, gov't printer",Notes on the aborigines of New South Wales. By R. H. Mathews.  Published by authority of the government of New South Wales.,https://trove.nla.gov.au/version/1091819,1091819,1011399
"Australia. Royal Commission on the Constitution|Peden, John Beverley",1929,OL24397575M,"Canberra H. J. Green, Govt. Printer",Report of the Royal Commission on the Constitution together with appendixes and index,https://trove.nla.gov.au/version/50624290,50624290,10114975
Welbore St. Clair Baddeley 1856-,1913,OL6573285M,Gloucester John Bellows,Place-names of Gloucestershire a handbook by W. St. Clair Baddeley.,https://trove.nla.gov.au/version/49209609,49209609,10120879
Wongar B.,1993,OL9692740M,HarperCollins Publishers,The Track to BralguPaperback,https://trove.nla.gov.au/version/256427686,256427686,10129259
B. Wongar,1978,OL4550198M,"Boston Little, Brown",The track to Bralgu B. Wongar.,https://trove.nla.gov.au/version/207890022,207890022,10129259
"Erickson, Joan.",1980,OL4124017M,"Menlo Park, Calif Lane Pub. Co.","Travel guide to Australia by the editors of Sunset Books and Sunset magazine, [edited by Joan Erickson ; ill. and maps, Joe Seney].",https://trove.nla.gov.au/version/94190375,94190375,10133503
Joan Erickson,1980,OL24743761M,"Menlo Park, Calif Lane Pub. Co.","Sunset travel guide to Australia by the editors of Sunset books and Sunset magazine, [edited by Joan Erickson ; ill. and maps, Joe Seney]",https://trove.nla.gov.au/version/168650015,168650015,10133503
