creators,date,ia_formats,ia_id,ia_url,ol_id,publisher,text_filename,title,trove_url,version_id,work_id
"George Jeffrey|Perkins, Arthur J. (Arthur James), 1871-1944",1907,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Raw Cornell Book Zip|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,cu31924003182643,https://archive.org/details/cu31924003182643,OL24169301M,"Adelaide Printed by Vardon & sons, ltd.",cu31924003182643_djvu.txt,"A practical handbook on sheep and wool for the farmer, with which is incorporated Professor Perkins' report in 1906 on the sheep at the roseworthy agricultural college farm by Geo. Jeffrey ...",https://trove.nla.gov.au/version/49129017,49129017,10051865
Rolf Boldrewood 1826-1915,1969,DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|Metadata|DjVuTXT|Djvu XML|Metadata|MARC|MARC Binary|Metadata|Scandata|Single Page Processed TIFF ZIP,oldmelbournemem00boldgoog,https://archive.org/details/oldmelbournemem00boldgoog,OL5729660M,Melbourne Heinemann,oldmelbournemem00boldgoog_djvu.txt,Old Melbourne memories [by] Rolf Boldrewood. Introduction and editorial commentary by C. E. Sayers.,https://trove.nla.gov.au/version/544219,544219,10070727
Rolf Boldrewood 1826-1915,1896,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,oldmelbournememo00bold,https://archive.org/details/oldmelbournememo00bold,OL7114646M,"London, New York Macmillan and Co.",oldmelbournememo00bold_djvu.txt,Old Melbourne memories [by] Rolf Boldrewood.,https://trove.nla.gov.au/version/1560640,1560640,10070727
Rolf Boldrewood 1826-1915,1884,Item Tile|DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Metadata|DjVuTXT|Djvu XML|Metadata|Metadata|Scandata|Single Page Processed TIFF ZIP,oldmelbournemem01boldgoog,https://archive.org/details/oldmelbournemem01boldgoog,OL23448373M,George Robertson,oldmelbournemem01boldgoog_djvu.txt,Old Melbourne Memories,https://trove.nla.gov.au/version/3575747,3575747,10070727
"Athel D'Ombrain 1901-|Swan, Wendy.",1981,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Contents,religionbusiness00stim,https://archive.org/details/religionbusiness00stim,OL3518420M,"Sydney, N.S.W Reed",religionbusiness00stim_djvu.txt,"Historic buildings of Maitland District Maitland, Morpeth, Raymond Terrace, Stroud and Ellalong areas Athel F. D'Ombrain ; text by Wendy Swan.",https://trove.nla.gov.au/version/183601587,183601587,10077826
"Wilkins, George H. Sir 1888-1958|Stefansson, Vilhjalmur, 1879-1962.|Lake, Simon, 1866-1945.|Danenhower, Sloan, 1885-|Sverdrup, H. U. 1888-1957.|Wilkins, John, 1614-1672.",1931,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Metadata|Scandata|Contents,undernorthpolewi00wilk,https://archive.org/details/undernorthpolewi00wilk,OL13576667M,"[New York] Brewer, Warren & Putnam",undernorthpolewi00wilk_djvu.txt,Under the North Pole the Wilkins-Ellsworth Submarine Expedition by Sir Hubert Wilkins.,https://trove.nla.gov.au/version/209695575,209695575,10103064
Robert Hamilton Mathews 1841-,1907,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,notesonaborigine00math,https://archive.org/details/notesonaborigine00math,OL7000127M,"Sidney W. A. Gullick, gov't printer",notesonaborigine00math_djvu.txt,Notes on the aborigines of New South Wales. By R. H. Mathews.  Published by authority of the government of New South Wales.,https://trove.nla.gov.au/version/1091819,1091819,1011399
Welbore St. Clair Baddeley 1856-,1913,DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Raw Cornell Book Zip|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,cu31924030976504,https://archive.org/details/cu31924030976504,OL6573285M,Gloucester John Bellows,cu31924030976504_djvu.txt,Place-names of Gloucestershire a handbook by W. St. Clair Baddeley.,https://trove.nla.gov.au/version/49209609,49209609,10120879
"South Australia. Dept. of Mines.|Gee, Lionel C. E.|Brown, Henry Yorke Lyell, 1844-",1908,DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|Metadata|DjVuTXT|Djvu XML|Metadata|MARC|Metadata|Scandata|Single Page Processed TIFF ZIP,arecordminessou00browgoog,https://archive.org/details/arecordminessou00browgoog,OL7001762M,"Adelaide C. E. Bristow, Government Printer",arecordminessou00browgoog_djvu.txt,"Record of the mines of South Australia. Compiled under the authority of the Hon. Laurence O'Loughlin, by Lionel C. E. Gee.  H. Y.L. Brown, Government Geologist.",https://trove.nla.gov.au/version/1095100,1095100,1014537
Angel Anguiano 1840-1921,1886,DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Metadata|DjVuTXT|Djvu XML|Metadata|Metadata|Scandata|Single Page Processed TIFF ZIP,longituddelobse00angugoog,https://archive.org/details/longituddelobse00angugoog,OL7002781M,Mexico Oficina tip. de la Secretaría de fomento,longituddelobse00angugoog_djvu.txt,"Longitud del Observatorio astronómico nacional mexicano por señales telegráficas cambiadas directamente entre St. Louis, Missouri (E.U. de A.) y Tacubaya. Observador en Tacubaya, ingeniero Ángel Anguiano. Memoria que escribió y presenta á la Secretaría de fomento el ingeniero Angel Anguiano ...",https://trove.nla.gov.au/version/1097027,1097027,1016388
