children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,"Taplin, George",1878-1880,Book,http://nla.gov.au/nla.obj-688657424,24,,Grammar of the Narrinyeri tribe of Australian Aborigines / by the late Rev. G. Taplin,nla.obj-688657424,https://trove.nla.gov.au/work/10029401,
,Miriam Agatha,1914-1923,Book,http://nla.gov.au/nla.obj-24357566,246,,"Nellie Doran : a story of Australian home and school life / by Miriam Agatha ; with a preface by His Grace the Coadjutor Archbishop of Brisbane, Queensland",nla.obj-24357566,https://trove.nla.gov.au/work/10049667,
,Germany. Heer. Heereswaffenamt,1942,Book,http://nla.gov.au/nla.obj-51530748,80,,Lastkraftwagen 3 t Ford : Baumuster V 3000 S : Geratbeschreibung und Bedienungsanweisung,nla.obj-51530748,https://trove.nla.gov.au/work/10053234,
,"Macdonald, M. P. (Margaret P.)",1900-1920,Book,http://nla.gov.au/nla.obj-19907304,388,,Trefoil : the story of a girls' society / by M.P. Macdonald,nla.obj-19907304,https://trove.nla.gov.au/work/10057400,
,,1909,Picture,http://nla.gov.au/nla.obj-233089297,0,,"Military report on the province of Chiang-su (south of the Yang-tzŭ) / prepared by the General Staff, War Office",nla.obj-233089297,https://trove.nla.gov.au/work/10068876,
,,1915,Book,http://nla.gov.au/nla.obj-509324870,33,,Le Siege de Berlin : Drame en un Acte / Charles Hellem & Pol Destoc,nla.obj-509324870,https://trove.nla.gov.au/work/10069391,
,"Willshire, W. H. (William Henry), 1852-1925",1888,Book,http://nla.gov.au/nla.obj-188910904,33,,The Aborigines of Central Australia : with a vocabulary of the dialect of the Alice Springs natives / by W. H. Willshire,nla.obj-188910904,https://trove.nla.gov.au/work/10076872,
,"Jacob, Cyriacus, -1551",1545,Picture,http://nla.gov.au/nla.obj-230899009,0,,Astronomia : Teutsch astronomei,nla.obj-230899009,https://trove.nla.gov.au/work/10084851,
,"Goodall, John A",1979,Book,http://nla.gov.au/nla.obj-134928341,200,,"Heaven and earth : 120 album leaves from a Ming encyclopedia, 'San-ts 'ai t'u-hui', 1610 / selected and annotated by John A. Goodall",nla.obj-134928341,https://trove.nla.gov.au/work/10095312,
,Hunter River Agricultural and Horticultural Association,1896,Book,http://nla.gov.au/nla.obj-470088899,128,,"Catalogue of horses, cattle, sheep, pigs, canaries, dogs, fat stock, poultry, farm produce, manufactures & materials ; and, Extra miscellaneous ; also, Fine arts and needlework exhibited at the 36th exhibition on Wednesday, Thursday and Friday, April 22nd, 23rd & 24th 1896 / Hunter River Agricultural and Horticultural Association, West Maitland",nla.obj-470088899,https://trove.nla.gov.au/work/10098848,
